"Codigo";"Descripcion";"Clasificador";"Indice_IPC";"v_m_IPC";"v_i_a_IPC";"Region";"Periodo_codificado"
B;Na;Bienes y servicios;100;0.00;0.00;Patagonia;Diciembre - 2016
B;Na;Bienes y servicios;100;0.00;0.00;Nacional;Diciembre - 2016
S;Na;Bienes y servicios;100;0.00;0.00;GBA;Diciembre - 2016
S;Na;Bienes y servicios;100;0.00;0.00;Pampeana;Diciembre - 2016
S;Na;Bienes y servicios;100;0.00;0.00;Noreste;Diciembre - 2016
S;Na;Bienes y servicios;100;0.00;0.00;Noroeste;Diciembre - 2016
S;Na;Bienes y servicios;100;0.00;0.00;Cuyo;Diciembre - 2016
S;Na;Bienes y servicios;100;0.00;0.00;Patagonia;Diciembre - 2016
S;Na;Bienes y servicios;100;0.00;0.00;Nacional;Diciembre - 2016
0;Nivel general;Nivel general y divisiones COICOP;101.313;1.30;0.00;GBA;Enero - 2017
0;Nivel general;Nivel general y divisiones COICOP;101.7874;1.80;0.00;Pampeana;Enero - 2017
0;Nivel general;Nivel general y divisiones COICOP;101.6727;1.70;0.00;Noreste;Enero - 2017
0;Nivel general;Nivel general y divisiones COICOP;101.6014;1.60;0.00;Noroeste;Enero - 2017
0;Nivel general;Nivel general y divisiones COICOP;101.7074;1.70;0.00;Cuyo;Enero - 2017
0;Nivel general;Nivel general y divisiones COICOP;102.5593;2.60;0.00;Patagonia;Enero - 2017
0;Nivel general;Nivel general y divisiones COICOP;101.5859;1.60;0.00;Nacional;Enero - 2017
01;Alimentos y bebidas no alcohólicas;Nivel general y divisiones COICOP;101.3069;1.30;0.00;GBA;Enero - 2017
01;Alimentos y bebidas no alcohólicas;Nivel general y divisiones COICOP;101.3185;1.30;0.00;Pampeana;Enero - 2017
01;Alimentos y bebidas no alcohólicas;Nivel general y divisiones COICOP;101.7326;1.70;0.00;Noreste;Enero - 2017
01;Alimentos y bebidas no alcohólicas;Nivel general y divisiones COICOP;101.0322;1.00;0.00;Noroeste;Enero - 2017
01;Alimentos y bebidas no alcohólicas;Nivel general y divisiones COICOP;101.4532;1.50;0.00;Cuyo;Enero - 2017
01;Alimentos y bebidas no alcohólicas;Nivel general y divisiones COICOP;100.9464;0.90;0.00;Patagonia;Enero - 2017
01;Alimentos y bebidas no alcohólicas;Nivel general y divisiones COICOP;101.3024;1.30;0.00;Nacional;Enero - 2017
